human,rat,mouse
KRTAP10-11,Krtap1-3,Gm9507
KRTAP10-11,Krtap1-3,Gm49918
KRTAP10-11,Krtap1-3,Krtap10-4
KRTAP10-11,Krtap1-3,Krtap10-10
KRTAP10-11,Krtap1-3,Gm36176
KRTAP10-11,Krtap1-3,Gm10318
KRTAP10-11,Krtap1-3,Gm3285
KRTAP10-11,Krtap1-3,Gm45618
KRTAP10-11,Krtap1-3,Krtap5-2
KRTAP10-11,Krtap1-3,Gm40460
KRTAP10-11,Krtap1-3,Gm4559
KRTAP10-11,LOC100365588,Krtap1-4
KRTAP10-11,LOC100365588,Krtap1-3
KRTAP10-11,LOC100365588,Krtap9-3
KRTAP10-11,LOC100365588,Gm19402
KRTAP10-11,LOC100365588,Gm9508
KRTAP10-11,LOC100365588,Gm18596
KRTAP10-11,LOC100365588,Gm9736
KRTAP10-11,LOC100365588,Gm3233
KRTAP10-11,LOC100365588,Gm3238
KRTAP10-11,LOC100365588,Gm7138
KRTAP10-11,LOC100365588,Gm3250
KRTAP10-11,LOC100365588,Gm7137
KRTAP10-11,LOC100365588,Gm9639
KRTAP10-11,LOC100365588,Gm19668
KRTAP10-11,LOC100365588,Gm9507
KRTAP10-11,LOC100365588,Gm49918
KRTAP10-11,LOC100365588,Krtap10-4
KRTAP10-11,LOC100365588,Krtap10-10
KRTAP10-11,LOC100365588,Gm36176
KRTAP10-11,LOC100365588,Gm10318
KRTAP10-11,LOC100365588,Gm3285
KRTAP10-11,LOC100365588,Gm45618
KRTAP10-11,LOC100365588,Krtap5-2
KRTAP10-11,LOC100365588,Gm40460
KRTAP10-11,LOC100365588,Gm4559
PSPH,Psph,Psph
DLC1,Dlc1,Dlc1
ARGLU1,Arglu1,Arglu1
ARX,Arx,Arx
DSEL,Dsel,Dsel
ADGRV1,Adgrv1,Adgrv1
NEU1,Neu1,Neu1
GATB,Gatb,Gatb
SMG7,Smg7,Smg7
KRT25,Krt25,Krt25
CYP4F22,Cyp4f39,Cyp4f39
KRT28,Krt28,Krt28
RBMY1D,Rbmy1j,Gm29289
RBMY1D,Rbmy1j,Gm21677
RBMY1D,Rbmy1j,Gm21693
RBMY1D,Rbmy1j,Gm21704
RBMY1D,Rbmy1j,Gm21708
RBMY1D,Rbmy1j,Gm3376
RBMY1D,Rbmy1j,Gm4064
RBMY1D,Rbmy1j,Rbmy
RBMY1D,Rbmy1j,Gm10256
RBMY1D,Rbmy1j,Gm10352
APOC1,NEWGENE_2134,Apoc1
APOC1,NEWGENE_2134,Apoc1
RBMY1J,Rbmy1j,Gm29289
RBMY1J,Rbmy1j,Gm21677
RBMY1J,Rbmy1j,Gm21693
RBMY1J,Rbmy1j,Gm21704
RBMY1J,Rbmy1j,Gm21708
RBMY1J,Rbmy1j,Gm3376
RBMY1J,Rbmy1j,Gm4064
RBMY1J,Rbmy1j,Rbmy
RBMY1J,Rbmy1j,Gm10256
RBMY1J,Rbmy1j,Gm10352
PPIA,Ppial4d,Ppia
C4A,C4a,C4b
C4A,C4a,C4b
ZNF480,LOC103694540,Zfy1
ZNF480,LOC103694540,Zfy2
ZNF480,LOC103694540,Zfp956
ZNF552,LOC103694540,Zfy1
ZNF552,LOC103694540,Zfy2
ZNF552,LOC103694540,Zfp956
AP2B1,Ap2b1,Ap2b1
TRIM39,Trim39,Trim39
ZNF792,LOC103694540,Zfy1
ZNF792,LOC103694540,Zfy2
KRT27,Krt27,Krt27
HP1BP3,Hp1bp3,Hp1bp3
HSPA1L,Hspa1l,Hspa1l
INSRR,Insrr,Insrr
EIF4E3,Eif4e3,Eif4e3
IQCA1L,Iqca1l,Iqca1l
CCT3,Cct3,Cct3
NCS1,Ncs1,Ncs1
RRP8,Rrp8,Rrp8
RPS15A,Rps15a,Rps15a
TNFSF4,Tnfsf4,Tnfsf4
ZNF304,LOC103694540,Zfy1
ZNF304,LOC103694540,Zfy2
PGM2,Pgm2,Pgm2
DRC1,Drc1,Drc1
KIAA1109,RGD1307100,4932438A13Rik
TMPRSS7,Tmprss7,Tmprss7
GIN1,Gin1,Gin1
GPR12,Gpr12,Gpr12
ABHD13,Abhd13,Abhd13
MMP17,Mmp17,Mmp17
CYP3A43,Cyp3a18,Cyp3a57
CYP3A43,Cyp3a18,Cyp3a16
CYP3A43,Cyp3a18,Cyp3a41b
CYP3A43,Cyp3a18,Cyp3a41a
CYP3A43,Cyp3a18,Cyp3a44
CYP3A43,Cyp3a18,Cyp3a11
CYP3A43,Cyp3a18,Cyp3a25
CYP3A43,Cyp3a18,Cyp3a59
CYP3A43,Cyp3a18,Cyp3a13
RBMY1A1,Rbmy1j,Gm29289
RBMY1A1,Rbmy1j,Gm21677
RBMY1A1,Rbmy1j,Gm21693
RBMY1A1,Rbmy1j,Gm21704
RBMY1A1,Rbmy1j,Gm21708
RBMY1A1,Rbmy1j,Gm3376
RBMY1A1,Rbmy1j,Gm4064
RBMY1A1,Rbmy1j,Rbmy
RBMY1A1,Rbmy1j,Gm10256
RBMY1A1,Rbmy1j,Gm10352
E2F3,E2f3,E2f3
RTN4RL1,Rtn4rl1,Rtn4rl1
BBS9,Bbs9,Bbs9
CCN4,Ccn4,Ccn4
KRT85,Krt85,Gm49425
MAGEB6,Mageb4,Mageb2
MAGEB6,Mageb4,Mageb6b1
MAGEB6,Mageb4,Mageb6b2
MAGEB6,Mageb4,Mageb1
MAGEB6,Mageb4,Mageb3
SPON1,Spon1,Spon1
REG1A,Reg1a,Reg2
REG1A,Reg1a,Reg1
KLHL14,Klhl14,Klhl14
ZFP36,Zfp36,Zfp36
SLC25A31,Slc25a31,Slc25a31
ZDHHC1,Zdhhc1,Zdhhc1
CRNKL1,Crnkl1,Crnkl1
TRAF1,Traf1,Traf1
RRH,Rrh,Rrh
ARMT1,Armt1,Armt1
SLF1,Slf1,Slf1
NR4A1,Nr4a1,Nr4a1
,RT1-DMb,H2-DMb2
,RT1-DMb,H2-DMb1
,RT1-DMb,H2-DMb2
,RT1-DMb,H2-DMb1
SGPP1,Sgpp1,Sgpp1
GRIK2,Grik2,Grik2
CCDC170,Ccdc170,Ccdc170
POLA1,Pola1,Pola1
TSPYL2,Tspyl2,Tspyl2
SNRPD3,Snrpd3,Snrpd3
TLR6,Tlr6,Tlr6
SGO2,Sgo2,Sgo2b
SGO2,Sgo2,Sgo2a
SEPTIN14,Septin14,Septin14
COL11A2,Col11a2,Col11a2
PLCXD2,Plcxd2,Plcxd2
POU5F2,Pou5f2,Pou5f2
LYRM2,Lyrm2,Lyrm2
BGLAP,Bglap,Bglap3
BGLAP,Bglap,Bglap2
BGLAP,Bglap,Bglap
,Mrps17,Mrps17
BEND4,Bend4,Bend4
RNF217,Rnf217,Rnf217
CYP3A7-CYP3A51P,Cyp3a18,Cyp3a57
CYP3A7-CYP3A51P,Cyp3a18,Cyp3a16
CYP3A7-CYP3A51P,Cyp3a18,Cyp3a41b
CYP3A7-CYP3A51P,Cyp3a18,Cyp3a41a
CYP3A7-CYP3A51P,Cyp3a18,Cyp3a44
CYP3A7-CYP3A51P,Cyp3a18,Cyp3a11
CYP3A7-CYP3A51P,Cyp3a18,Cyp3a25
CYP3A7-CYP3A51P,Cyp3a18,Cyp3a59
CYP3A7-CYP3A51P,Cyp3a18,Cyp3a13
HSPB7,Hspb7,Hspb7
GCSAM,Gcsam,Gcsam
OR2H2,Olr1746,Olfr90
OR2H2,Olr1746,Olfr91
OR2H2,Olr1746,Olfr92
OR2H2,Olr1746,Olfr93
OR2H2,Olr1746,Olfr753-ps1
OR2H2,Olr1749,Olfr90
OR2H2,Olr1749,Olfr91
OR2H2,Olr1749,Olfr92
OR2H2,Olr1749,Olfr93
OR2H2,Olr1749,Olfr753-ps1
OR2H2,Olr1750,Olfr90
OR2H2,Olr1750,Olfr91
OR2H2,Olr1750,Olfr92
OR2H2,Olr1750,Olfr93
OR2H2,Olr1750,Olfr753-ps1
CATIP,Catip,Catip
ESCO2,Esco2,Esco2
POPDC3,Popdc3,Popdc3
KLHL15,Klhl15,Klhl15
TNFSF18,Tnfsf18,Tnfsf18
ZNF549,LOC103694540,Zfy1
ZNF549,LOC103694540,Zfy2
GABRB3,Gabrb3,Gabrb3
UBE2R2,Ube2r2,Ube2r2
,Krt222,Krt222
BIVM,Ercc5,Bivm
BIVM,Ercc5,Ercc5
INTU,Intu,Intu
PHF20L1,Phf20l1,Phf20l1
SMG5,Smg5,Smg5
KMT2E,Kmt2e,Kmt2e
C6orf136,RGD1302996,2310061I04Rik
,Timm10b,Gm45799
,LOC103694540,Zfy1
,LOC103694540,Zfy2
,LOC103694540,Zfp956
NR2C2AP,Nr2c2ap,Nr2c2ap
ARL6IP1,Arl6ip1,Arl6ip1
SMIM3,Smim3,Smim3
RSPH10B2,Rsph10b,Rsph10b
HOXA5,LOC103689922,Hoxa5
IL17D,Il17d,Il17d
KRTAP4-7,LOC108348235,Krtap4-7
KRTAP4-7,LOC108348235,Gm11555
KRTAP4-7,LOC108348235,Krtap4-7
KRTAP4-7,LOC108348235,Gm11555
KRTAP4-7,LOC680396,Krtap4-7
KRTAP4-7,LOC680396,Gm11555
KRTAP4-7,LOC100910814,Krtap4-7
KRTAP4-7,LOC100910814,Gm11555
ATP8B4,Atp8b4,Atp8b4
ZFAND4,Zfand4,Zfand4
FNDC4,AABR07063279.1,Fndc4
SRR,Srr,Srr
PLRG1,Plrg1,Plrg1
RSC1A1,Ddi2,Ddi2
RSC1A1,Ddi2,Rsc1a1
FSTL5,Fstl5,Fstl5
PIGC,Pigc,Pigc
JRK,Jrk,Jrk
IQSEC2,Iqsec2,Iqsec2
KDM5D,Kdm5d,Kdm5d
TSACC,Tsacc,Tsacc
NR2F1,Nr2f1,Nr2f1
GABRA5,Gabra5,Gabra5
TAF15,Taf15,Taf15
DNHD1,Dnhd1,Dnhd1
FRY,Fry,Fry
FYN,Fyn,Fyn
EPHB2,Ephb2,Ephb2
KRTAP3-1,Krtap3-1,Krtap3-1
FAR1,Far1,Far1
KRT222,Krt222,Krt222
SRPK2,Srpk2,Srpk2
OBSCN,Obscn,Obscn
CTDSP1,Ctdsp1,Ctdsp1
CENPL,Cenpl,Cenpl
UBD,Ubd,Ubd
NRXN1,Nrxn1,Nrxn1
CST3,LOC689220,Cst3
CST3,LOC689220,Cst10
CST3,Cyss,Cst3
CST3,Cyss,Cst10
CST3,LOC296235,Cst3
CST3,LOC296235,Cst10
CST3,Cst5,Cst3
CST3,Cst5,Cst10
CERS1,Cers1,NA
ZFAT,Zfat,Zfat
IFT88,Ift88,Ift88
ADAM21,LOC108348202,Adam21
ADAM21,LOC108348202,Adam21
ADAM21,Adam21,Adam21
ADAM21,Adam21,Adam21
ACE,Ace,Ace
NAA20,Naa20,Naa20
TUBB,Tubb5,Tubb5
HLA-DMB,RT1-DMb,H2-DMb2
HLA-DMB,RT1-DMb,H2-DMb1
HLA-DMB,RT1-DMb,H2-DMb2
HLA-DMB,RT1-DMb,H2-DMb1
GAR1,Gar1,Gar1
LUZP2,Luzp2,Luzp2
ZNF419,LOC103694540,Zfy1
ZNF419,LOC103694540,Zfy2
ZNF419,LOC103694540,Zfp956
AIMP2,Aimp2,Aimp2
ZNF584,LOC103694540,Zfy1
ZNF584,LOC103694540,Zfy2
EIF2S3,Eif2s3,Eif2s3y
EIF2S3,Eif2s3,Eif2s3x
ODAM,Odam,Odam
LRIT3,Lrit3,Lrit3
BCL2,Bcl2,Bcl2
EIF4E,Eif4e,Eif4e
PPP1R18,Ppp1r18,Ppp1r18
PPP1R18,Ppp1r18,Ppp1r18
USP42,Usp42,Usp42
KRTAP1-4,Krtap1-5,Krtap1-5
KRTAP10-4,Krtap1-1,Krtap1-4
KRTAP10-4,Krtap1-1,Krtap1-3
KRTAP10-4,Krtap1-1,Krtap9-3
KRTAP10-4,Krtap1-1,Gm19402
KRTAP10-4,Krtap1-1,Gm9508
KRTAP10-4,Krtap1-1,Gm18596
KRTAP10-4,Krtap1-1,Gm9736
KRTAP10-4,Krtap1-1,Gm3233
KRTAP10-4,Krtap1-1,Gm3238
KRTAP10-4,Krtap1-1,Gm7138
KRTAP10-4,Krtap1-1,Gm3250
KRTAP10-4,Krtap1-1,Gm7137
KRTAP10-4,Krtap1-1,Gm9639
KRTAP10-4,Krtap1-1,Gm19668
KRTAP10-4,Krtap1-1,Gm9507
KRTAP10-4,Krtap1-1,Gm49918
KRTAP10-4,Krtap1-1,Krtap10-4
KRTAP10-4,Krtap1-1,Krtap10-10
KRTAP10-4,Krtap1-1,Gm36176
KRTAP10-4,Krtap1-1,Gm10318
KRTAP10-4,Krtap1-1,Gm3285
KRTAP10-4,Krtap1-1,Gm45618
KRTAP10-4,Krtap1-1,Krtap5-2
KRTAP10-4,Krtap1-1,Gm40460
KRTAP10-4,Krtap1-1,Gm4559
KRTAP10-4,Krtap1-3,Krtap1-4
KRTAP10-4,Krtap1-3,Krtap1-3
KRTAP10-4,Krtap1-3,Krtap9-3
KRTAP10-4,Krtap1-3,Gm19402
KRTAP10-4,Krtap1-3,Gm9508
KRTAP10-4,Krtap1-3,Gm18596
KRTAP10-4,Krtap1-3,Gm9736
KRTAP10-4,Krtap1-3,Gm3233
KRTAP10-4,Krtap1-3,Gm3238
KRTAP10-4,Krtap1-3,Gm7138
KRTAP10-4,Krtap1-3,Gm3250
KRTAP10-4,Krtap1-3,Gm7137
KRTAP10-4,Krtap1-3,Gm9639
KRTAP10-4,Krtap1-3,Gm19668
KRTAP10-4,Krtap1-3,Gm9507
KRTAP10-4,Krtap1-3,Gm49918
KRTAP10-4,Krtap1-3,Krtap10-4
KRTAP10-4,Krtap1-3,Krtap10-10
KRTAP10-4,Krtap1-3,Gm36176
KRTAP10-4,Krtap1-3,Gm10318
KRTAP10-4,Krtap1-3,Gm3285
KRTAP10-4,Krtap1-3,Gm45618
KRTAP10-4,Krtap1-3,Krtap5-2
KRTAP10-4,Krtap1-3,Gm40460
KRTAP10-4,Krtap1-3,Gm4559
KRTAP10-4,LOC100365588,Krtap1-4
KRTAP10-4,LOC100365588,Krtap1-3
KRTAP10-4,LOC100365588,Krtap9-3
KRTAP10-4,LOC100365588,Gm19402
KRTAP10-4,LOC100365588,Gm9508
KRTAP10-4,LOC100365588,Gm18596
KRTAP10-4,LOC100365588,Gm9736
KRTAP10-4,LOC100365588,Gm3233
KRTAP10-4,LOC100365588,Gm3238
KRTAP10-4,LOC100365588,Gm7138
KRTAP10-4,LOC100365588,Gm3250
KRTAP10-4,LOC100365588,Gm7137
KRTAP10-4,LOC100365588,Gm9639
KRTAP10-4,LOC100365588,Gm19668
KRTAP10-4,LOC100365588,Gm9507
KRTAP10-4,LOC100365588,Gm49918
KRTAP10-4,LOC100365588,Krtap10-4
KRTAP10-4,LOC100365588,Krtap10-10
KRTAP10-4,LOC100365588,Gm36176
KRTAP10-4,LOC100365588,Gm10318
KRTAP10-4,LOC100365588,Gm3285
KRTAP10-4,LOC100365588,Gm45618
KRTAP10-4,LOC100365588,Krtap5-2
KRTAP10-4,LOC100365588,Gm40460
KRTAP10-4,LOC100365588,Gm4559
NIPSNAP2,Nipsnap2,Nipsnap2
WASHC2A,Washc2c,Washc2
GPR3,Gpr3,Gpr3
PPIP5K2,Ppip5k2,Ppip5k2
KRTAP1-3,Krtap1-5,Krtap1-5
GRHPR,Grhpr,Grhpr
IPPK,Ippk,Ippk
GUCD1,Gucd1,Gucd1
MPV17L,Mpv17l,Mpv17l
HSPA1A,LOC108348108,Hspa1b
HSPA1A,LOC108348108,Hspa1a
HSPA1A,LOC108348108,Hspa1b
HSPA1A,LOC108348108,Hspa1a
HSPA1A,Hspa1b,Hspa1b
HSPA1A,Hspa1b,Hspa1a
HSPA1A,Hspa1b,Hspa1b
HSPA1A,Hspa1b,Hspa1a
MMP28,Mmp28,Mmp28
PSMA3,Psma3l,Psma3
PSMA3,Psma3l,Psma3
ABCF2-H2BE1,Abcf2,Abcf2
SLFN12,Slfn2,Slfn2
SLFN12,Slfn2,Slfn1
SLFN12,Slfn2,Slfn4
SLFN12,Slfn2,Slfn3
SLFN12,Slfn4,Slfn2
SLFN12,Slfn4,Slfn1
SLFN12,Slfn4,Slfn4
SLFN12,Slfn4,Slfn3
KRT23,Krt23,Krt23
PCYT1B,Pcyt1b,Pcyt1b
KIAA0825,RGD1560883,2210408I21Rik
RALBP1,Ralbp1,Ralbp1
PDK3,Pdk3,Pdk3
EHMT2,Ehmt2,Ehmt2
ASB10,Asb10,Asb10
NRM,Nrm,Nrm
HLA-DOB,RT1-DOb,H2-Ob
ZNF772,LOC103694540,Zfy1
ZNF772,LOC103694540,Zfy2
SUCO,Suco,Suco
KRT10,Krt10,Krt10
RPS11,Rps11,Rps11
BIVM-ERCC5,Ercc5,Bivm
BIVM-ERCC5,Ercc5,Ercc5
MYO16,Myo16,Myo16
ZNF773,LOC103694540,Zfy1
ZNF773,LOC103694540,Zfy2
DPH1,Dph1,Dph1
MRPS17,Mrps17,Mrps17
TMEM125,Tmem125,Tmem125
SRY,Sry,Sry
SLC17A6,Slc17a6,Slc17a6
SLC17A7,Slc17a7,Slc17a7
GPR107,Gpr107,Gpr107
OR8B4,Olr1202,Olfr878
ZNF610,LOC103694540,Zfy1
ZNF610,LOC103694540,Zfy2
ZNF610,LOC103694540,Zfp956
ARPC5,Arpc5,Arpc5
KLHL20,Klhl20,Klhl20
PARP4,AABR07018038.1,Parp4
RBMY1F,Rbmy1j,Gm29289
RBMY1F,Rbmy1j,Gm21677
RBMY1F,Rbmy1j,Gm21693
RBMY1F,Rbmy1j,Gm21704
RBMY1F,Rbmy1j,Gm21708
RBMY1F,Rbmy1j,Gm3376
RBMY1F,Rbmy1j,Gm4064
RBMY1F,Rbmy1j,Rbmy
RBMY1F,Rbmy1j,Gm10256
RBMY1F,Rbmy1j,Gm10352
MACIR,RGD1562136,Macir
SSX2IP,Ssx2ip,Ssx2ip
WASHC2C,Washc2c,Washc2
C5,C5,Hc
,LOC103694540,Zfy1
,LOC103694540,Zfy2
PMF1-BGLAP,Pmf1,Pmf1
CHD9,Chd9,Chd9
ANKRD61,Ankrd61,Ankrd61
HSPA1B,LOC108348108,Hspa1b
HSPA1B,LOC108348108,Hspa1a
HSPA1B,LOC108348108,Hspa1b
HSPA1B,LOC108348108,Hspa1a
HSPA1B,Hspa1b,Hspa1b
HSPA1B,Hspa1b,Hspa1a
HSPA1B,Hspa1b,Hspa1b
HSPA1B,Hspa1b,Hspa1a
IFT172,AABR07063281.1,Ift172
SLC11A1,Slc11a1,Slc11a1
KRT80,Krt80,Krt80
VARS1,Vars1,Vars
CYP4F8,Cyp4f17,Cyp4f17
CYP4F8,Cyp4f17,Cyp4f16
CYP4F8,Cyp4f17,Cyp4f37
CYP4F8,Cyp4f17,Cyp4f13
CYP4F8,Cyp4f5,Cyp4f17
CYP4F8,Cyp4f5,Cyp4f16
CYP4F8,Cyp4f5,Cyp4f37
CYP4F8,Cyp4f5,Cyp4f13
DNAH7,Dnah7,Dnah7b
DNAH7,Dnah7,Dnah7c
DNAH7,Dnah7,Dnah7a
STMN1,Stmn1,Stmn1
CYP3A7,Cyp3a18,Cyp3a57
CYP3A7,Cyp3a18,Cyp3a16
CYP3A7,Cyp3a18,Cyp3a41b
CYP3A7,Cyp3a18,Cyp3a41a
CYP3A7,Cyp3a18,Cyp3a44
CYP3A7,Cyp3a18,Cyp3a11
CYP3A7,Cyp3a18,Cyp3a25
CYP3A7,Cyp3a18,Cyp3a59
CYP3A7,Cyp3a18,Cyp3a13
DDX39B,Ddx39b,Ddx39b
RPA1,Rpa1,Rpa1
IRF4,Irf4,Irf4
REG1B,Reg3g,Reg3b
REG1B,Reg3g,Reg3d
REG1B,Reg3g,Reg3a
REG1B,Reg3g,Reg3g
PEX12,Pex12,Pex12
PEX12,Pex12,Pex12
FAM83D,Fam83d,Fam83d
OR11A1,Olr1743,Olfr96
ANKRD6,Ankrd6,Ankrd6
,AC127084.1,Ankrd45
RBMY1E,Rbmy1j,Gm29289
RBMY1E,Rbmy1j,Gm21677
RBMY1E,Rbmy1j,Gm21693
RBMY1E,Rbmy1j,Gm21704
RBMY1E,Rbmy1j,Gm21708
RBMY1E,Rbmy1j,Gm3376
RBMY1E,Rbmy1j,Gm4064
RBMY1E,Rbmy1j,Rbmy
RBMY1E,Rbmy1j,Gm10256
RBMY1E,Rbmy1j,Gm10352
RTTN,Rttn,Rttn
LTA,Lta,Lta
KRTAP16-1,Krtap16-1,Krtap16-1
KRTAP16-1,Krtap16-1,Krtap16-1
SLPI,RGD1563818,Slpi
SLPI,Slpil2,Slpi
SLPI,Slpil2,Slpi
SLPI,Slpil3,Slpi
SLPI,Slpi,Slpi
HLA-DPA1,RT1-Ha,NA
,Tap2,Tap2
RBMY1B,Rbmy1j,Gm29289
RBMY1B,Rbmy1j,Gm21677
RBMY1B,Rbmy1j,Gm21693
RBMY1B,Rbmy1j,Gm21704
RBMY1B,Rbmy1j,Gm21708
RBMY1B,Rbmy1j,Gm3376
RBMY1B,Rbmy1j,Gm4064
RBMY1B,Rbmy1j,Rbmy
RBMY1B,Rbmy1j,Gm10256
RBMY1B,Rbmy1j,Gm10352
CYTH3,Cyth3,Cyth3
DYNC1LI2,Dync1li2,Dync1li2
ARC,Arc,Arc
HLA-DOA,RT1-DOa,H2-Oa
GDPD2,Gdpd2,Gdpd2
CD164,Cd164,Cd164
RSPH10B,Rsph10b,Rsph10b
TNFSF13B,Tnfsf13b,Tnfsf13b
DLG3,Dlg3,Dlg3
EIF2AK1,Eif2ak1,Eif2ak1
ADGRF3,Adgrf3,Adgrf3
AQP3,Aqp3,Aqp3
PKNOX2,Pknox2,Pknox2
PRDM1,Prdm1,Prdm1
ZBTB5,Zbtb5,Zbtb5
KRTAP4-6,LOC108348235,Krtap4-7
KRTAP4-6,LOC108348235,Gm11555
KRTAP4-6,LOC108348235,Krtap4-7
KRTAP4-6,LOC108348235,Gm11555
KRTAP4-6,LOC680396,Krtap4-7
KRTAP4-6,LOC680396,Gm11555
KRTAP4-6,LOC100910814,Krtap4-7
KRTAP4-6,LOC100910814,Gm11555
ATAD2B,Atad2b,Atad2b
ATAD2B,Atad2b,Atad2b
ZNF587B,LOC103694540,Zfy1
ZNF587B,LOC103694540,Zfy2
ZNF587B,LOC103694540,Zfp956
OR10C1,Olr1744,Olfr95
CHPF2,Chpf2,Chpf2
ZNF418,LOC103694540,Zfy1
ZNF418,LOC103694540,Zfy2
ZNF418,LOC103694540,Zfp956
SH2D5,Sh2d5,Sh2d5
TSN,Tsn,Tsn
ZNF561,LOC103694540,Zfy1
ZNF561,LOC103694540,Zfy2
ZNF561,LOC103694540,Zfp956
UBE2J1,Ube2j1,Ube2j1
KDSR,Kdsr,Kdsr
KCTD18,Kctd18,Kctd18
ZNF793,LOC103694540,Zfy1
ZNF793,LOC103694540,Zfy2
SLC44A4,Slc44a4,Slc44a4
GDF1,Gdf1,Cers1
GDF1,Gdf1,Cers1
GDF1,Gdf1,Gdf1
FGB,Fgb,Fgb
KRT20,Krt20,Krt20
STK17B,Stk17b,Stk17b
FBXW7,Fbxw7,Fbxw7
CD200,Cd200,Cd200
KIF4A,Kif4a,Kif4
MARCHF8,Marchf8,Marchf8
ALDH16A1,Aldh16a1,Aldh16a1
ESR1,Esr1,Esr1
KIT,Kit,Kit
ZNF548,LOC103694540,Zfy1
ZNF548,LOC103694540,Zfy2
GFY,Gfy,Gfy
ZBTB12,Zbtb12,Zbtb12
ZNF256,LOC103694540,Zfy1
ZNF256,LOC103694540,Zfy2
CYP3A5,Cyp3a18,Cyp3a57
CYP3A5,Cyp3a18,Cyp3a16
CYP3A5,Cyp3a18,Cyp3a41b
CYP3A5,Cyp3a18,Cyp3a41a
CYP3A5,Cyp3a18,Cyp3a44
CYP3A5,Cyp3a18,Cyp3a11
CYP3A5,Cyp3a18,Cyp3a25
CYP3A5,Cyp3a18,Cyp3a59
CYP3A5,Cyp3a18,Cyp3a13
SUSD6,Susd6,Susd6
TMEM26,Tmem26,NA
TNF,Tnf,Tnf
CYP3A4,Cyp3a18,Cyp3a57
CYP3A4,Cyp3a18,Cyp3a16
CYP3A4,Cyp3a18,Cyp3a41b
CYP3A4,Cyp3a18,Cyp3a41a
CYP3A4,Cyp3a18,Cyp3a44
CYP3A4,Cyp3a18,Cyp3a11
CYP3A4,Cyp3a18,Cyp3a25
CYP3A4,Cyp3a18,Cyp3a59
CYP3A4,Cyp3a18,Cyp3a13
ANKRD45,AC127084.1,Ankrd45
OR8B8,Olr1201,Olfr145
SAMD4B,Samd4b,Samd4b
KCNH6,Kcnh6,Kcnh6
GPM6A,Gpm6a,Gpm6a
SUMF2,Sumf2,Sumf2
TNR,Tnr,Tnr
P2RX5,P2rx5,P2rx5
BDP1,Bdp1,Bdp1
ACBD5,Acbd5,Acbd5
PROSER2,Proser2,Proser2
SYT17,Syt17,Syt17
CNN2,Cnn2,Cnn2
KISS1R,Kiss1r,Kiss1r
POU5F1,Pou5f1,Pou5f1
P2RY12,P2ry12,P2ry12
PRKX,Prkx,Prkx
OR13C3,Olr844,Olfr273
CCDC191,Ccdc191,Ccdc191
ATP6V1A,Atp6v1a,Atp6v1a
C4B,C4b,C4b
C4B,LOC103689965,C4b
FMN1,Fmn1,Fmn1
,Klc1,Klc1
CYB5B,Cyb5b,Cyb5b
AGPAT1,Agpat1,Agpat1
BIN3,Bin3,Bin3
UCK2,Uck2,Uck2
KLHL12,Klhl12,Klhl12
,Ly6g6e,Ly6g6e
TVP23C,Tvp23b,Tvp23b
CYB5RL,Cyb5rl,Cyb5rl
TSHR,Tshr,Tshr
SLURP1,Slurp1,Slurp1
TSBP1,Tsbp1,BC051142
CETN3,LOC100912538,Cetn3
TTC13,Ttc13,Ttc13
ASCC3,Ascc3,Ascc3
RRAGA,Rraga,Rraga
GARRE1,RGD1308428,Garre1
CBWD6,Cbwd1,Cbwd1
EXPH5,Exph5,Exph5
LHX4,Lhx4,Lhx4
TIMM50,Timm50,Timm50
SLCO1A2,Slco1a1,Gm5724
SLCO1A2,Slco1a1,Slco1a4
SLCO1A2,Slco1a1,Slco1a1
SLCO1A2,Slco1a1,Gm6614
SLCO1A2,Slco1a1,Slco1a6
SLCO1A2,Slco1a1,Slco1a5
SPATA22,Spata22,Gm49340
SPATA22,Spata22,Spata22
GPR173,AABR07037489.1,Gpr173
TAX1BP3,Tax1bp3,Tax1bp3
WDR46,Wdr46,Wdr46
MAD2L2,Mad2l2,Mad2l2
INTS10,Ints10,NA
KRT77,Krt77,Krt77
HTR7,LOC103694905,Htr7
CAPRIN1,Caprin1,Caprin1
PPP4R3C,AABR07038657.1,4932429P05Rik
PPP4R3C,AABR07038657.1,4930415L06Rik
FAM174B,Fam174b,Fam174b
KRTAP10-9,LOC690386,Gm19402
KRTAP10-9,LOC690386,Gm9508
KRTAP10-9,LOC690386,Gm10272
KRTAP10-9,LOC690386,Gm10024
KRTAP10-9,LOC690386,Gm10142
KRTAP10-9,LOC690386,Krtap12-1
KRTAP10-9,LOC690386,Gm10100
KRTAP10-9,LOC690386,Gm18596
KRTAP10-9,LOC690386,Gm9736
KRTAP10-9,LOC690386,Gm3233
KRTAP10-9,LOC690386,Gm3238
KRTAP10-9,LOC690386,Gm7138
KRTAP10-9,LOC690386,Gm3250
KRTAP10-9,LOC690386,Gm7137
KRTAP10-9,LOC690386,Gm9639
KRTAP10-9,LOC690386,Gm19668
KRTAP10-9,LOC690386,Gm9507
KRTAP10-9,LOC690386,Gm49918
KRTAP10-9,LOC690386,Krtap10-4
KRTAP10-9,LOC690386,Krtap10-10
KRTAP10-9,LOC690386,Gm36176
KRTAP10-9,LOC690386,Gm10318
KRTAP10-9,LOC690386,Gm3285
KRTAP10-9,LOC690386,Gm45618
